season,state_bucket,opponent_team_strength_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2025,up_1_early_1_3,50_55,2045,0.5951,0.6787,0.4108,0.5667,0.4621,0.9648,5522,0.6108,-0.0157,0.648,0.0307,0.404,0.0068,0.5594,0.0073,0.4591,0.003,0.958,0.0068
2023,up_1_early_1_3,50_55,1900,0.5895,0.6695,0.4153,0.5674,0.4579,0.9605,5257,0.6173,-0.0278,0.6371,0.0324,0.4141,0.0012,0.5632,0.0042,0.4392,0.0187,0.9583,0.0022
2024,up_5_plus_late_7_plus,45_50,1568,0.9923,0.0096,0.3265,0.3909,0.3176,0.0242,5053,0.9927,-0.0004,0.0113,-0.0017,0.3275,-0.001,0.3794,0.0115,0.3137,0.0039,0.0263,-0.0021
2024,up_1_early_1_3,45_50,1563,0.6539,0.6116,0.3781,0.5304,0.4063,0.9475,5340,0.6382,0.0157,0.6305,-0.0189,0.3964,-0.0183,0.5468,-0.0164,0.4255,-0.0192,0.9541,-0.0066
2025,up_1_late_7_plus,50_55,1537,0.799,0.3234,0.3253,0.3728,0.3234,0.9766,4136,0.7962,0.0028,0.3039,0.0195,0.3138,0.0115,0.3656,0.0072,0.3039,0.0195,0.9768,-0.0002
2023,up_5_plus_late_7_plus,50_55,1505,0.9973,0.006,0.3787,0.4425,0.3787,0.0246,4855,0.9946,0.0027,0.0072,-0.0012,0.3574,0.0213,0.4122,0.0303,0.3429,0.0358,0.0185,0.0061
2024,up_1_early_1_3,50_55,1483,0.6231,0.646,0.3837,0.5327,0.4255,0.9548,5340,0.6382,-0.0151,0.6305,0.0155,0.3964,-0.0127,0.5468,-0.0141,0.4255,0.0,0.9541,0.0007
2025,up_5_plus_late_7_plus,50_55,1456,1.0,0.0034,0.3338,0.3874,0.3104,0.011,5064,0.9943,0.0057,0.0079,-0.0045,0.3474,-0.0136,0.4017,-0.0143,0.3323,-0.0219,0.0166,-0.0056
2025,up_1_f5_1_5,50_55,1434,0.5983,0.6046,0.4031,0.5614,0.4623,0.9728,3632,0.6352,-0.0369,0.5765,0.0281,0.4025,0.0006,0.5498,0.0116,0.4452,0.0171,0.9722,0.0006
2023,up_1_late_7_plus,50_55,1428,0.7899,0.3298,0.3354,0.388,0.3298,0.9734,4144,0.7734,0.0165,0.3313,-0.0015,0.3448,-0.0094,0.3924,-0.0044,0.3313,-0.0015,0.9718,0.0016
2025,up_5_plus_late_7_plus,45_50,1369,0.9876,0.0131,0.3601,0.4069,0.3294,0.0168,5064,0.9943,-0.0067,0.0079,0.0052,0.3474,0.0127,0.4017,0.0052,0.3323,-0.0029,0.0166,0.0002
2024,up_5_plus_late_7_plus,50_55,1366,0.9963,0.0102,0.3031,0.3382,0.2826,0.0242,5053,0.9927,0.0036,0.0113,-0.0011,0.3275,-0.0244,0.3794,-0.0412,0.3137,-0.0311,0.0263,-0.0021
2024,up_1_late_7_plus,45_50,1354,0.7578,0.3471,0.3656,0.4151,0.3471,0.9764,4150,0.7598,-0.002,0.3383,0.0088,0.3525,0.0131,0.4051,0.01,0.3383,0.0088,0.974,0.0024
2025,up_1_early_1_3,45_50,1310,0.616,0.6382,0.413,0.558,0.471,0.9496,5522,0.6108,0.0052,0.648,-0.0098,0.404,0.009,0.5594,-0.0014,0.4591,0.0119,0.958,-0.0084
2023,up_1_early_1_3,45_50,1297,0.6122,0.6307,0.4032,0.5482,0.4179,0.9584,5257,0.6173,-0.0051,0.6371,-0.0064,0.4141,-0.0109,0.5632,-0.015,0.4392,-0.0213,0.9583,0.0001
2023,up_1_f5_1_5,50_55,1249,0.5925,0.6261,0.4347,0.6021,0.4876,0.9712,3577,0.6472,-0.0547,0.5801,0.046,0.4082,0.0265,0.5639,0.0382,0.4507,0.0369,0.9723,-0.0011
2023,up_5_plus_late_7_plus,45_50,1237,0.9895,0.0137,0.3226,0.3719,0.291,0.0154,4855,0.9946,-0.0051,0.0072,0.0065,0.3574,-0.0348,0.4122,-0.0403,0.3429,-0.0519,0.0185,-0.0031
2025,up_2_late_7_plus,50_55,1210,0.8851,0.2339,0.3744,0.438,0.3826,0.3826,3185,0.8942,-0.0091,0.1799,0.054,0.3341,0.0403,0.3962,0.0418,0.3353,0.0473,0.3353,0.0473
2023,up_2_late_7_plus,50_55,1172,0.8916,0.1681,0.3362,0.4019,0.3379,0.3379,3321,0.8814,0.0102,0.174,-0.0059,0.3342,0.002,0.3927,0.0092,0.3219,0.016,0.3219,0.016
2024,up_1_f5_1_5,45_50,1161,0.6761,0.5711,0.4074,0.5797,0.4384,0.9759,3704,0.6547,0.0214,0.5702,0.0009,0.4023,0.0051,0.5664,0.0133,0.4355,0.0029,0.9754,0.0005
2024,up_1_late_7_plus,50_55,1157,0.7701,0.3155,0.3345,0.3803,0.3155,0.9723,4150,0.7598,0.0103,0.3383,-0.0228,0.3525,-0.018,0.4051,-0.0248,0.3383,-0.0228,0.974,-0.0017
2023,up_1_late_7_plus,45_50,1064,0.7284,0.3741,0.3853,0.4286,0.3741,0.9756,4144,0.7734,-0.045,0.3313,0.0428,0.3448,0.0405,0.3924,0.0362,0.3313,0.0428,0.9718,0.0038
2024,up_1_f5_1_5,50_55,1061,0.6475,0.5401,0.4166,0.5815,0.4185,0.9755,3704,0.6547,-0.0072,0.5702,-0.0301,0.4023,0.0143,0.5664,0.0151,0.4355,-0.017,0.9754,0.0001
2025,up_1_late_7_plus,45_50,1056,0.7888,0.3049,0.3021,0.3532,0.3049,0.9811,4136,0.7962,-0.0074,0.3039,0.001,0.3138,-0.0117,0.3656,-0.0124,0.3039,0.001,0.9768,0.0043
2023,up_2_early_1_3,50_55,1007,0.6544,0.5084,0.3992,0.5869,0.4846,0.4846,2917,0.7011,-0.0467,0.505,0.0034,0.432,-0.0328,0.5883,-0.0014,0.4758,0.0088,0.4758,0.0088
2024,up_2_late_7_plus,45_50,1003,0.8804,0.1705,0.3559,0.4217,0.3519,0.3519,3327,0.8744,0.006,0.1776,-0.0071,0.3408,0.0151,0.3956,0.0261,0.3267,0.0252,0.3267,0.0252
2024,up_2_late_7_plus,50_55,979,0.857,0.2022,0.3483,0.4035,0.3299,0.3299,3327,0.8744,-0.0174,0.1776,0.0246,0.3408,0.0075,0.3956,0.0079,0.3267,0.0032,0.3267,0.0032
2023,up_2_f5_1_5,50_55,977,0.7369,0.4166,0.4688,0.609,0.479,0.479,2652,0.7534,-0.0165,0.4163,0.0003,0.4427,0.0261,0.592,0.017,0.4729,0.0061,0.4729,0.0061
2024,up_2_early_1_3,45_50,951,0.7182,0.4911,0.3628,0.5289,0.4196,0.4196,3030,0.7429,-0.0247,0.4502,0.0409,0.3835,-0.0207,0.5419,-0.013,0.4145,0.0051,0.4145,0.0051
2024,up_2_f5_1_5,45_50,923,0.7671,0.3911,0.3944,0.5796,0.4442,0.4442,2806,0.7744,-0.0073,0.3553,0.0358,0.3813,0.0131,0.5474,0.0322,0.4195,0.0247,0.4195,0.0247
2025,up_3_late_7_plus,50_55,898,0.9577,0.0746,0.3129,0.3786,0.284,0.1214,2484,0.9569,0.0008,0.0761,-0.0015,0.318,-0.0051,0.3732,0.0054,0.3019,-0.0179,0.1514,-0.03
2025,up_2_early_1_3,50_55,885,0.6904,0.5299,0.426,0.5853,0.5006,0.5006,2763,0.7351,-0.0447,0.4629,0.067,0.3959,0.0301,0.553,0.0323,0.447,0.0536,0.447,0.0536
2025,up_2_f5_1_5,50_55,885,0.7299,0.4486,0.4237,0.5582,0.4542,0.4542,2589,0.7636,-0.0337,0.4002,0.0484,0.409,0.0147,0.5577,0.0005,0.4434,0.0108,0.4434,0.0108
2023,up_1_f5_1_5,45_50,880,0.65,0.575,0.3955,0.5466,0.4443,0.9773,3577,0.6472,0.0028,0.5801,-0.0051,0.4082,-0.0127,0.5639,-0.0173,0.4507,-0.0064,0.9723,0.005
2025,up_1_early_1_3,55_60,870,0.554,0.6954,0.423,0.6011,0.4989,0.9678,5522,0.6108,-0.0568,0.648,0.0474,0.404,0.019,0.5594,0.0417,0.4591,0.0398,0.958,0.0098
2023,up_3_late_7_plus,50_55,862,0.9443,0.0789,0.3434,0.3956,0.319,0.181,2579,0.9387,0.0056,0.0954,-0.0165,0.3373,0.0061,0.3889,0.0067,0.3075,0.0115,0.1706,0.0104
2023,up_2_late_7_plus,45_50,852,0.8709,0.1854,0.3439,0.4038,0.3275,0.3275,3321,0.8814,-0.0105,0.174,0.0114,0.3342,0.0097,0.3927,0.0111,0.3219,0.0056,0.3219,0.0056
2025,up_1_f5_1_5,45_50,846,0.6418,0.5804,0.3818,0.5284,0.4409,0.9775,3632,0.6352,0.0066,0.5765,0.0039,0.4025,-0.0207,0.5498,-0.0214,0.4452,-0.0043,0.9722,0.0053
2024,up_1_early_1_3,55_60,819,0.5849,0.6593,0.4408,0.5971,0.4737,0.967,5340,0.6382,-0.0533,0.6305,0.0288,0.3964,0.0444,0.5468,0.0503,0.4255,0.0482,0.9541,0.0129
2024,up_3_late_7_plus,45_50,817,0.9461,0.0796,0.3231,0.3745,0.3121,0.164,2744,0.953,-0.0069,0.0678,0.0118,0.3287,-0.0056,0.3812,-0.0067,0.32,-0.0079,0.1396,0.0244
2024,up_2_early_1_3,50_55,775,0.7342,0.4374,0.3871,0.5626,0.4039,0.4039,3030,0.7429,-0.0087,0.4502,-0.0128,0.3835,0.0036,0.5419,0.0207,0.4145,-0.0106,0.4145,-0.0106
2024,up_3_late_7_plus,50_55,772,0.9534,0.0751,0.3497,0.408,0.3562,0.1399,2744,0.953,0.0004,0.0678,0.0073,0.3287,0.021,0.3812,0.0268,0.32,0.0362,0.1396,0.0003
2025,up_2_early_1_3,45_50,768,0.7552,0.4388,0.3451,0.4987,0.4102,0.4102,2763,0.7351,0.0201,0.4629,-0.0241,0.3959,-0.0508,0.553,-0.0543,0.447,-0.0368,0.447,-0.0368
2023,up_2_early_1_3,45_50,762,0.7402,0.4987,0.4147,0.5486,0.4488,0.4488,2917,0.7011,0.0391,0.505,-0.0063,0.432,-0.0173,0.5883,-0.0397,0.4758,-0.027,0.4758,-0.027
2025,up_5_plus_late_7_plus,40_45,753,1.0,0.0,0.3307,0.4064,0.3413,0.0159,5064,0.9943,0.0057,0.0079,-0.0079,0.3474,-0.0167,0.4017,0.0047,0.3323,0.009,0.0166,-0.0007
2023,up_4_late_7_plus,50_55,744,0.9758,0.0323,0.3414,0.4046,0.3011,0.086,2125,0.9755,0.0003,0.0381,-0.0058,0.3233,0.0181,0.3751,0.0295,0.2894,0.0117,0.0776,0.0084
2024,up_2_f5_1_5,50_55,711,0.7511,0.3812,0.4093,0.5471,0.4262,0.4262,2806,0.7744,-0.0233,0.3553,0.0259,0.3813,0.028,0.5474,-0.0003,0.4195,0.0067,0.4195,0.0067
2025,up_5_plus_late_7_plus,55_60,710,0.9944,0.0099,0.3479,0.4042,0.3408,0.0099,5064,0.9943,0.0001,0.0079,0.002,0.3474,0.0005,0.4017,0.0025,0.3323,0.0085,0.0166,-0.0067
2025,up_2_late_7_plus,45_50,708,0.8884,0.1653,0.3333,0.3927,0.3305,0.3305,3185,0.8942,-0.0058,0.1799,-0.0146,0.3341,-0.0008,0.3962,-0.0035,0.3353,-0.0048,0.3353,-0.0048
2024,up_5_plus_late_7_plus,55_60,690,0.9928,0.0072,0.3478,0.4043,0.3493,0.0362,5053,0.9927,0.0001,0.0113,-0.0041,0.3275,0.0203,0.3794,0.0249,0.3137,0.0356,0.0263,0.0099
2025,up_2_f5_1_5,45_50,657,0.793,0.3805,0.4003,0.5495,0.4262,0.4262,2589,0.7636,0.0294,0.4002,-0.0197,0.409,-0.0087,0.5577,-0.0082,0.4434,-0.0172,0.4434,-0.0172
2024,up_4_late_7_plus,45_50,656,0.9756,0.0351,0.3445,0.407,0.3628,0.0899,2139,0.9715,0.0041,0.0383,-0.0032,0.323,0.0215,0.3806,0.0264,0.3249,0.0379,0.0827,0.0072
2023,up_3_late_7_plus,45_50,653,0.9372,0.1103,0.3216,0.3859,0.2986,0.1623,2579,0.9387,-0.0015,0.0954,0.0149,0.3373,-0.0157,0.3889,-0.003,0.3075,-0.0089,0.1706,-0.0083
2024,up_4_late_7_plus,50_55,649,0.9753,0.0401,0.2881,0.3297,0.2804,0.0632,2139,0.9715,0.0038,0.0383,0.0018,0.323,-0.0349,0.3806,-0.0509,0.3249,-0.0445,0.0827,-0.0195
2024,up_5_plus_late_7_plus,40_45,646,1.0,0.0062,0.3375,0.4071,0.3251,0.017,5053,0.9927,0.0073,0.0113,-0.0051,0.3275,0.01,0.3794,0.0277,0.3137,0.0114,0.0263,-0.0093
2025,up_1_early_1_3,40_45,641,0.7005,0.5601,0.3697,0.5382,0.4228,0.9532,5522,0.6108,0.0897,0.648,-0.0879,0.404,-0.0343,0.5594,-0.0212,0.4591,-0.0363,0.958,-0.0048
2023,up_1_early_1_3,55_60,638,0.5721,0.6364,0.4326,0.5643,0.442,0.9498,5257,0.6173,-0.0452,0.6371,-0.0007,0.4141,0.0185,0.5632,0.0011,0.4392,0.0028,0.9583,-0.0085
2023,up_3_f5_1_5,50_55,635,0.8173,0.2929,0.4126,0.5669,0.4693,0.2772,1832,0.8264,-0.0091,0.2735,0.0194,0.4099,0.0027,0.5617,0.0052,0.4481,0.0212,0.2702,0.007
2023,up_5_plus_late_7_plus,40_45,634,0.9921,0.0079,0.418,0.4653,0.4038,0.0252,4855,0.9946,-0.0025,0.0072,0.0007,0.3574,0.0606,0.4122,0.0531,0.3429,0.0609,0.0185,0.0067
2023,up_3_early_1_3,50_55,632,0.7595,0.4035,0.4351,0.5791,0.4557,0.2848,1690,0.774,-0.0145,0.3657,0.0378,0.4385,-0.0034,0.5964,-0.0173,0.458,-0.0023,0.2817,0.0031
2023,up_5_plus_late_7_plus,55_60,632,1.0,0.0,0.3544,0.432,0.3354,0.0063,4855,0.9946,0.0054,0.0072,-0.0072,0.3574,-0.003,0.4122,0.0198,0.3429,-0.0075,0.0185,-0.0122
2024,up_1_early_1_3,40_45,631,0.6878,0.5499,0.3819,0.5055,0.3851,0.954,5340,0.6382,0.0496,0.6305,-0.0806,0.3964,-0.0145,0.5468,-0.0413,0.4255,-0.0404,0.9541,-0.0001
2024,up_3_f5_1_5,45_50,629,0.8442,0.248,0.4277,0.5692,0.4515,0.2687,1931,0.8674,-0.0232,0.2258,0.0222,0.392,0.0357,0.5298,0.0394,0.4247,0.0268,0.2496,0.0191
2025,up_1_middle_6,50_55,624,0.6394,0.5256,0.4038,0.5641,0.4455,0.9776,1601,0.6721,-0.0327,0.4859,0.0397,0.3691,0.0347,0.524,0.0401,0.4204,0.0251,0.9781,-0.0005
2025,up_4_late_7_plus,50_55,619,0.979,0.0339,0.2649,0.3296,0.2456,0.063,1928,0.9761,0.0029,0.0311,0.0028,0.2822,-0.0173,0.333,-0.0034,0.2573,-0.0117,0.0705,-0.0075
2023,up_2_f5_1_5,45_50,614,0.7752,0.4121,0.4267,0.5782,0.4593,0.4593,2652,0.7534,0.0218,0.4163,-0.0042,0.4427,-0.016,0.592,-0.0138,0.4729,-0.0136,0.4729,-0.0136
2023,up_5_plus_late_7_plus,lt_40,603,0.9934,0.0066,0.3333,0.3682,0.3284,0.0232,4855,0.9946,-0.0012,0.0072,-0.0006,0.3574,-0.0241,0.4122,-0.044,0.3429,-0.0145,0.0185,0.0047
2023,up_5_plus_f5_1_5,50_55,597,0.9497,0.0737,0.3886,0.5779,0.474,0.0653,1901,0.9605,-0.0108,0.0631,0.0106,0.3924,-0.0038,0.5692,0.0087,0.4477,0.0263,0.0568,0.0085
2025,up_1_late_7_plus,55_60,588,0.7704,0.3299,0.3367,0.3895,0.3299,0.9796,4136,0.7962,-0.0258,0.3039,0.026,0.3138,0.0229,0.3656,0.0239,0.3039,0.026,0.9768,0.0028
2024,up_1_late_7_plus,55_60,587,0.753,0.3543,0.3578,0.4123,0.3543,0.9796,4150,0.7598,-0.0068,0.3383,0.016,0.3525,0.0053,0.4051,0.0072,0.3383,0.016,0.974,0.0056
2024,up_5_plus_f5_1_5,45_50,569,0.9473,0.0598,0.3638,0.4956,0.4007,0.0316,1894,0.9498,-0.0025,0.0692,-0.0094,0.3685,-0.0047,0.5148,-0.0192,0.4197,-0.019,0.0533,-0.0217
2025,up_1_f5_1_5,55_60,561,0.6203,0.5775,0.41,0.5169,0.4278,0.9679,3632,0.6352,-0.0149,0.5765,0.001,0.4025,0.0075,0.5498,-0.0329,0.4452,-0.0174,0.9722,-0.0043
2023,up_1_middle_6,50_55,558,0.6272,0.5538,0.4337,0.5645,0.4767,0.9677,1639,0.6705,-0.0433,0.5095,0.0443,0.3905,0.0432,0.5503,0.0142,0.446,0.0307,0.975,-0.0073
2025,up_5_plus_late_7_plus,lt_40,551,0.9855,0.0181,0.3485,0.3975,0.3466,0.0436,5064,0.9943,-0.0088,0.0079,0.0102,0.3474,0.0011,0.4017,-0.0042,0.3323,0.0143,0.0166,0.027
2024,up_5_plus_late_7_plus,lt_40,548,0.9726,0.0347,0.3595,0.4015,0.3412,0.042,5053,0.9927,-0.0201,0.0113,0.0234,0.3275,0.032,0.3794,0.0221,0.3137,0.0275,0.0263,0.0157
2025,up_3_late_7_plus,45_50,547,0.936,0.0914,0.309,0.3601,0.298,0.1846,2484,0.9569,-0.0209,0.0761,0.0153,0.318,-0.009,0.3732,-0.0131,0.3019,-0.0039,0.1514,0.0332
2024,up_1_f5_1_5,55_60,546,0.6062,0.6172,0.4304,0.5788,0.4945,0.9634,3704,0.6547,-0.0485,0.5702,0.047,0.4023,0.0281,0.5664,0.0124,0.4355,0.059,0.9754,-0.012
2025,up_3_f5_1_5,50_55,544,0.8603,0.2408,0.3915,0.5294,0.4228,0.2463,1710,0.8643,-0.004,0.2216,0.0192,0.3713,0.0202,0.5222,0.0072,0.4146,0.0082,0.2444,0.0019
2023,up_1_early_1_3,40_45,540,0.6667,0.6204,0.4352,0.563,0.4407,0.9685,5257,0.6173,0.0494,0.6371,-0.0167,0.4141,0.0211,0.5632,-0.0002,0.4392,0.0015,0.9583,0.0102
2024,up_5_plus_f5_1_5,50_55,532,0.9737,0.0489,0.3816,0.5169,0.4079,0.0451,1894,0.9498,0.0239,0.0692,-0.0203,0.3685,0.0131,0.5148,0.0021,0.4197,-0.0118,0.0533,-0.0082
2023,up_1_early_1_3,lt_40,529,0.7335,0.5198,0.3667,0.5595,0.3819,0.9527,5257,0.6173,0.1162,0.6371,-0.1173,0.4141,-0.0474,0.5632,-0.0037,0.4392,-0.0573,0.9583,-0.0056
2025,up_5_plus_f5_1_5,45_50,528,0.9678,0.036,0.4148,0.5417,0.4223,0.0455,1789,0.9631,0.0047,0.0598,-0.0238,0.4203,-0.0055,0.5696,-0.0279,0.4477,-0.0254,0.0464,-0.0009
2024,up_1_early_1_3,lt_40,524,0.7118,0.6508,0.3607,0.542,0.3817,0.9561,5340,0.6382,0.0736,0.6305,0.0203,0.3964,-0.0357,0.5468,-0.0048,0.4255,-0.0438,0.9541,0.002
2024,up_1_middle_6,45_50,520,0.6577,0.5327,0.4192,0.5808,0.4673,0.9846,1608,0.658,-0.0003,0.51,0.0227,0.3943,0.0249,0.5647,0.0161,0.449,0.0183,0.9826,0.002
2023,up_1_late_7_plus,55_60,506,0.7213,0.3775,0.3676,0.4209,0.3775,0.9704,4144,0.7734,-0.0521,0.3313,0.0462,0.3448,0.0228,0.3924,0.0285,0.3313,0.0462,0.9718,-0.0014
2024,up_3_early_1_3,45_50,504,0.7758,0.3313,0.3651,0.5278,0.4067,0.2202,1634,0.8237,-0.0479,0.2803,0.051,0.4002,-0.0351,0.5532,-0.0254,0.4278,-0.0211,0.2301,-0.0099
2024,up_3_f5_1_5,50_55,493,0.8783,0.213,0.3834,0.5254,0.3874,0.2231,1931,0.8674,0.0109,0.2258,-0.0128,0.392,-0.0086,0.5298,-0.0044,0.4247,-0.0373,0.2496,-0.0265
2023,up_4_late_7_plus,45_50,488,0.9754,0.0492,0.3033,0.332,0.2787,0.084,2125,0.9755,-0.0001,0.0381,0.0111,0.3233,-0.02,0.3751,-0.0431,0.2894,-0.0107,0.0776,0.0064
2024,up_2_late_7_plus,55_60,483,0.8778,0.1739,0.2961,0.3354,0.2754,0.2754,3327,0.8744,0.0034,0.1776,-0.0037,0.3408,-0.0447,0.3956,-0.0602,0.3267,-0.0513,0.3267,-0.0513
2025,up_2_late_7_plus,55_60,473,0.8816,0.1755,0.3192,0.3784,0.3277,0.3277,3185,0.8942,-0.0126,0.1799,-0.0044,0.3341,-0.0149,0.3962,-0.0178,0.3353,-0.0076,0.3353,-0.0076
2025,up_2_middle_6,50_55,473,0.8118,0.3488,0.3953,0.5624,0.4482,0.4482,1273,0.8272,-0.0154,0.3009,0.0479,0.392,0.0033,0.5169,0.0455,0.4171,0.0311,0.4171,0.0311
2025,up_3_f5_1_5,45_50,473,0.8436,0.2304,0.3848,0.5307,0.4228,0.2558,1710,0.8643,-0.0207,0.2216,0.0088,0.3713,0.0135,0.5222,0.0085,0.4146,0.0082,0.2444,0.0114
2025,up_1_late_7_plus,40_45,472,0.8008,0.2542,0.2669,0.322,0.2542,0.9661,4136,0.7962,0.0046,0.3039,-0.0497,0.3138,-0.0469,0.3656,-0.0436,0.3039,-0.0497,0.9768,-0.0107
2024,up_1_middle_6,50_55,469,0.6951,0.4243,0.3369,0.5181,0.3817,0.9787,1608,0.658,0.0371,0.51,-0.0857,0.3943,-0.0574,0.5647,-0.0466,0.449,-0.0673,0.9826,-0.0039
2024,up_5_plus_middle_6,45_50,466,0.9828,0.0215,0.3841,0.5386,0.4421,0.0258,1412,0.9816,0.0012,0.0269,-0.0054,0.3817,0.0024,0.5163,0.0223,0.4256,0.0165,0.0276,-0.0018
2023,up_5_plus_f5_1_5,45_50,460,0.9587,0.0609,0.3609,0.5478,0.4543,0.0478,1901,0.9605,-0.0018,0.0631,-0.0022,0.3924,-0.0315,0.5692,-0.0214,0.4477,0.0066,0.0568,-0.009
2025,up_4_late_7_plus,45_50,460,0.9804,0.0261,0.2609,0.2957,0.2196,0.0543,1928,0.9761,0.0043,0.0311,-0.005,0.2822,-0.0213,0.333,-0.0373,0.2573,-0.0377,0.0705,-0.0162
2023,up_3_f5_1_5,45_50,457,0.8468,0.2429,0.372,0.5339,0.4048,0.2495,1832,0.8264,0.0204,0.2735,-0.0306,0.4099,-0.0379,0.5617,-0.0278,0.4481,-0.0433,0.2702,-0.0207
2025,up_3_early_1_3,50_55,455,0.7978,0.3604,0.4571,0.6308,0.4967,0.3253,1574,0.8113,-0.0135,0.3253,0.0351,0.3952,0.0619,0.5559,0.0749,0.425,0.0717,0.2541,0.0712
2025,up_5_plus_f5_1_5,50_55,452,0.9712,0.0597,0.365,0.5465,0.4381,0.0597,1789,0.9631,0.0081,0.0598,-0.0001,0.4203,-0.0553,0.5696,-0.0231,0.4477,-0.0096,0.0464,0.0133
2024,up_2_early_1_3,55_60,451,0.7472,0.4989,0.3858,0.5654,0.4612,0.4612,3030,0.7429,0.0043,0.4502,0.0487,0.3835,0.0023,0.5419,0.0235,0.4145,0.0467,0.4145,0.0467
2023,up_2_middle_6,50_55,444,0.7973,0.3063,0.4032,0.5698,0.4707,0.4707,1240,0.8016,-0.0043,0.3056,0.0007,0.3903,0.0129,0.5379,0.0319,0.4323,0.0384,0.4323,0.0384
