candidate_id,candidate_type,original_label,replayed_tuning_pass_1_label,process_grade,game_id,derivative_type,market_ticker,selected_team,line_value,side,inning,outs,runners,score_away,score_home,entry_yes_bid,entry_yes_ask,entry_mid,entry_spread,market_mismatch_score,baseball_support_score,execution_quality_score,risk_blocker_score,overall_watch_score,baseline_source,first_discovery_inflation_flag,good_entry_label,paper_status,proposed_side,entry_price_cents,settlement_result,paper_net_pnl_cents,outcome_explanation,delta_mid_next_300s,market_reaction_grade,would_be_watch_after_pass1,active_rally_flag,market_nearly_settled_flag,wide_spread_flag,contract_direction
797,trailing_team_total_lag_watch,watch,observe,bad_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,NYM,,YES,1,2,,0,3,28,29,28,1,100.0,50.0,100.0,0.0,85.0,first_discovery,1,strong_value,paper_closed,YES,29,loss,-29,,0,neutral,0,False,False,False,team_total_over_yes
798,trailing_team_total_lag_watch,watch,observe,bad_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,NYM,,YES,2,0,,0,3,28,29,28,1,100.0,50.0,100.0,0.0,85.0,first_discovery,1,strong_value,paper_closed,YES,29,loss,-29,,0,neutral,0,False,False,False,team_total_over_yes
799,trailing_team_total_lag_watch,blocked,blocked,sound_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,MIA,,YES,3,2,1-3,0,3,75,77,76,2,4.0,50.0,100.0,0.0,56.2,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,True,False,False,team_total_over_yes
800,trailing_team_total_lag_watch,watch,observe,bad_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,MIA,,YES,3,3,,0,3,75,77,76,2,4.0,50.0,100.0,0.0,56.2,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
801,trailing_team_total_lag_watch,watch,observe,bad_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,MIA,,YES,4,0,,0,3,75,77,76,2,4.0,50.0,100.0,0.0,56.2,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
802,trailing_team_total_lag_watch,watch,observe,bad_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,NYM,,YES,2,0,,0,3,28,29,28,1,100.0,50.0,100.0,0.0,85.0,first_discovery,1,strong_value,paper_closed,YES,29,loss,-29,,0,neutral,0,False,False,False,team_total_over_yes
803,trailing_team_total_lag_watch,blocked,blocked,questionable_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,NYM,,YES,2,0,1--,0,3,28,29,28,1,100.0,50.0,100.0,0.0,85.0,first_discovery,1,strong_value,paper_closed,YES,29,loss,-29,,0,neutral,0,True,False,False,team_total_over_yes
804,trailing_team_total_lag_watch,blocked,blocked,sound_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,MIA,,YES,4,0,1--,0,3,75,77,76,2,4.0,50.0,100.0,0.0,56.2,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,True,False,False,team_total_over_yes
805,trailing_team_total_lag_watch,blocked,blocked,questionable_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,NYM,,YES,2,1,123,0,4,28,29,28,1,100.0,50.0,100.0,0.0,85.0,first_discovery,1,strong_value,paper_closed,YES,29,loss,-29,,0,neutral,0,True,False,False,team_total_over_yes
806,trailing_team_total_lag_watch,blocked,blocked,questionable_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,NYM,,YES,2,1,123,0,5,28,29,28,1,100.0,50.0,100.0,0.0,85.0,first_discovery,1,strong_value,paper_closed,YES,29,loss,-29,,0,neutral,0,True,False,False,team_total_over_yes
807,trailing_team_total_lag_watch,watch,observe,bad_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,MIA,,YES,4,0,,0,3,75,77,76,2,4.0,50.0,100.0,0.0,56.2,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
808,trailing_team_total_lag_watch,watch,suppress,bad_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,NYM,,YES,2,2,,0,9,28,29,28,1,100.0,50.0,100.0,0.0,85.0,first_discovery,1,strong_value,paper_closed,YES,29,loss,-29,,0,neutral,0,False,False,False,team_total_over_yes
809,trailing_team_total_lag_watch,watch,observe,bad_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,MIA,,YES,5,0,,0,3,75,77,76,2,4.0,50.0,100.0,0.0,56.2,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
810,trailing_team_total_lag_watch,watch,suppress,bad_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,NYM,,YES,3,0,,0,9,28,29,28,1,100.0,50.0,100.0,0.0,85.0,first_discovery,1,strong_value,paper_closed,YES,29,loss,-29,,0,neutral,0,False,False,False,team_total_over_yes
811,trailing_team_total_lag_watch,blocked,blocked,sound_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,MIA,,YES,5,1,-2-,0,3,75,77,76,2,4.0,50.0,100.0,0.0,56.2,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,True,False,False,team_total_over_yes
812,trailing_team_total_lag_watch,watch,suppress,bad_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,NYM,,YES,3,0,,0,9,28,29,28,1,100.0,50.0,100.0,0.0,85.0,first_discovery,1,strong_value,paper_closed,YES,29,loss,-29,,0,neutral,0,False,False,False,team_total_over_yes
813,trailing_team_total_lag_watch,blocked,blocked,questionable_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,NYM,,YES,3,0,1--,0,9,28,29,28,1,100.0,50.0,100.0,0.0,85.0,first_discovery,1,strong_value,paper_closed,YES,29,loss,-29,,0,neutral,0,True,False,False,team_total_over_yes
814,trailing_team_total_lag_watch,watch,observe,bad_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,MIA,,YES,5,1,,0,3,75,77,76,2,4.0,50.0,100.0,0.0,56.2,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
815,trailing_team_total_lag_watch,blocked,blocked,sound_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,MIA,,YES,5,1,1--,0,3,75,77,76,2,4.0,50.0,100.0,0.0,56.2,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,True,False,False,team_total_over_yes
816,trailing_team_total_lag_watch,watch,suppress,bad_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,MIA,,YES,5,1,,0,5,75,77,76,2,4.0,25.0,100.0,30.0,44.2,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
817,trailing_team_total_lag_watch,blocked,blocked,sound_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,MIA,,YES,5,2,1--,0,5,75,77,76,2,4.0,25.0,100.0,30.0,44.2,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,True,False,False,team_total_over_yes
818,trailing_team_total_lag_watch,watch,observe,bad_process,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,TEX,,YES,1,2,,3,0,58,59,58,1,10.0,55.0,100.0,0.0,59.5,first_discovery,1,possible_value,paper_closed,YES,58,loss,-58,,0,neutral,0,False,False,False,team_total_over_yes
819,trailing_team_total_lag_watch,blocked,blocked,questionable_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,NYM,,YES,4,0,-2-,0,9,28,29,28,1,100.0,50.0,100.0,0.0,85.0,first_discovery,1,strong_value,paper_closed,YES,29,loss,-29,,0,neutral,0,True,False,False,team_total_over_yes
820,trailing_team_total_lag_watch,watch,suppress,bad_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,MIA,,YES,6,0,,0,5,75,77,76,2,4.0,25.0,100.0,30.0,44.2,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
821,trailing_team_total_lag_watch,blocked,blocked,sound_process,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,TEX,,YES,1,0,1--,3,0,58,59,58,1,10.0,55.0,100.0,0.0,59.5,first_discovery,1,possible_value,paper_closed,YES,58,loss,-58,,0,neutral,0,True,False,False,team_total_over_yes
822,trailing_team_total_lag_watch,watch,observe,bad_process,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,TEX,,YES,1,3,,3,0,58,59,58,1,10.0,55.0,100.0,0.0,59.5,first_discovery,1,possible_value,paper_closed,YES,58,loss,-58,,0,neutral,0,False,False,False,team_total_over_yes
823,trailing_team_total_lag_watch,watch,suppress,bad_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,MIA,,YES,6,0,,0,5,75,77,76,2,4.0,25.0,100.0,30.0,44.2,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
824,trailing_team_total_lag_watch,watch,observe,bad_process,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,TEX,,YES,1,3,,3,0,27,32,29,5,100.0,55.0,70.0,0.0,79.0,first_discovery,1,strong_value,paper_closed,YES,34,loss,-34,,0,neutral,0,False,False,False,team_total_over_yes
825,trailing_team_total_lag_watch,watch,suppress,bad_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,MIA,,YES,6,1,,0,5,13,21,17,8,100.0,25.0,40.0,30.0,58.0,first_discovery,1,possible_value,paper_closed,YES,57,loss,-57,,0,neutral,0,False,False,False,team_total_over_yes
826,trailing_team_total_lag_watch,blocked,blocked,questionable_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,NYM,,YES,4,1,123,0,9,7,63,35,56,92.0,50.0,0.0,15.0,55.3,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,True,False,True,team_total_over_yes
827,trailing_team_total_lag_watch,watch,observe,bad_process,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,TEX,,YES,2,1,,3,0,27,32,29,5,100.0,55.0,70.0,0.0,79.0,first_discovery,1,strong_value,paper_closed,YES,34,loss,-34,,0,neutral,0,False,False,False,team_total_over_yes
828,trailing_team_total_lag_watch,blocked,blocked,questionable_process,MIA@PHI,team_total,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,MIA,,YES,6,1,1--,0,5,13,21,17,8,100.0,25.0,40.0,30.0,58.0,first_discovery,1,possible_value,paper_closed,YES,57,loss,-57,,0,neutral,0,True,False,False,team_total_over_yes
829,trailing_team_total_lag_watch,watch,observe,bad_process,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,TEX,,YES,2,0,,3,0,27,32,29,5,100.0,55.0,70.0,0.0,79.0,first_discovery,1,strong_value,paper_closed,YES,34,loss,-34,,0,neutral,0,False,False,False,team_total_over_yes
830,trailing_team_total_lag_watch,blocked,blocked,questionable_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,NYM,,YES,4,0,,0,9,7,63,35,56,92.0,50.0,0.0,15.0,55.3,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,True,team_total_over_yes
831,trailing_team_total_lag_watch,blocked,blocked,questionable_process,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,SD,,YES,4,2,-2-,0,2,55,59,57,4,100.0,50.0,80.0,0.0,80.0,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,True,False,False,team_total_over_yes
832,trailing_team_total_lag_watch,blocked,blocked,questionable_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,NYM,,YES,5,0,,0,9,7,63,35,56,92.0,50.0,0.0,15.0,55.3,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,True,team_total_over_yes
833,trailing_team_total_lag_watch,watch,observe,bad_process,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,TEX,,YES,3,0,,3,0,27,32,29,5,100.0,55.0,70.0,0.0,79.0,first_discovery,1,strong_value,paper_closed,YES,34,loss,-34,,0,neutral,0,False,False,False,team_total_over_yes
834,trailing_team_total_lag_watch,watch,observe,bad_process,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,SD,,YES,4,3,,0,2,55,59,57,4,100.0,50.0,80.0,0.0,80.0,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
835,trailing_team_total_lag_watch,watch,observe,bad_process,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,SD,,YES,5,0,,0,2,55,59,57,4,100.0,50.0,80.0,0.0,80.0,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
836,trailing_team_total_lag_watch,watch,observe,bad_process,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,HOU,,YES,2,2,,2,0,19,25,22,6,12.0,48.0,60.0,0.0,48.0,first_discovery,1,possible_value,paper_open,YES,24,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
837,trailing_team_total_lag_watch,watch,observe,bad_process,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,TEX,,YES,3,0,,3,0,27,32,29,5,100.0,55.0,70.0,0.0,79.0,first_discovery,1,strong_value,paper_closed,YES,34,loss,-34,,0,neutral,0,False,False,False,team_total_over_yes
838,trailing_team_total_lag_watch,watch,observe,bad_process,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,HOU,,YES,2,0,,2,0,19,25,22,6,12.0,48.0,60.0,0.0,48.0,first_discovery,1,possible_value,paper_open,YES,24,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
839,trailing_team_total_lag_watch,blocked,blocked,questionable_process,MIN@TEX,team_total,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,TEX,,YES,3,1,1--,3,0,27,32,29,5,100.0,55.0,70.0,0.0,79.0,first_discovery,1,strong_value,paper_closed,YES,34,loss,-34,,0,neutral,0,True,False,False,team_total_over_yes
840,f5_total_overreaction_fade_watch,watch,blocked,bad_process,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,,1.0,NO,3,1,,3,2,99,100,99,1,100.0,21.0,100.0,30.0,71.8,first_discovery,1,possible_value,paper_closed,NO,9,loss,-9,,0,neutral,0,False,True,False,f5_over_yes
841,trailing_team_total_lag_watch,watch,observe,bad_process,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,SD,,YES,5,0,,0,2,55,59,57,4,100.0,50.0,80.0,0.0,80.0,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,False,team_total_over_yes
842,trailing_team_total_lag_watch,blocked,blocked,questionable_process,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,SD,,YES,5,0,1--,0,2,55,59,57,4,100.0,50.0,80.0,0.0,80.0,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,True,False,False,team_total_over_yes
843,trailing_team_total_lag_watch,blocked,blocked,sound_process,DET@HOU,team_total,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,HOU,,YES,2,1,-2-,2,0,19,25,22,6,12.0,48.0,60.0,0.0,48.0,first_discovery,1,possible_value,paper_open,YES,24,unknown,,,0,neutral,0,True,False,False,team_total_over_yes
844,trailing_team_total_lag_watch,blocked,blocked,questionable_process,NYM@CIN,team_total,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,NYM,,YES,5,0,,0,9,7,63,35,56,92.0,50.0,0.0,15.0,55.3,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,False,False,True,team_total_over_yes
845,f5_total_overreaction_fade_watch,watch,blocked,bad_process,MIN@TEX,f5_total,KXMLBF5TOTAL-26JUN152005MINTEX-1,,1.0,NO,4,0,,3,2,99,100,99,1,100.0,21.0,100.0,30.0,71.8,first_discovery,1,possible_value,paper_closed,NO,9,loss,-9,,0,neutral,0,False,True,False,f5_over_yes
846,trailing_team_total_lag_watch,blocked,blocked,questionable_process,SD@STL,team_total,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,SD,,YES,5,2,-2-,0,3,55,59,57,4,100.0,50.0,80.0,0.0,80.0,first_discovery,1,not_evaluable,blocked_observation,YES,,unknown,,,0,neutral,0,True,False,False,team_total_over_yes
