date,candidate_id,game_pk,away_abbr,home_abbr,derivative_type,read_type,side,inning,half_inning,score_away,score_home,trigger_event_type,status,overall_watch_score,candidate_ts,anchor_ts_raw,anchor_ts_utc,market_ticker,yes_bid_before120,yes_ask_before120,mid_before120,yes_bid_before60,yes_ask_before60,mid_before60,yes_bid_before30,yes_ask_before30,mid_before30,yes_bid_at,yes_ask_at,mid_at,spread_at,yes_bid_after30,yes_ask_after30,mid_after30,yes_bid_after60,yes_ask_after60,mid_after60,yes_bid_after120,yes_ask_after120,mid_after120,yes_bid_after300,yes_ask_after300,mid_after300,delta_mid_30s,delta_mid_60s,delta_mid_120s,max_mid_after_300s,min_mid_after_300s,reversal_from_peak,time_to_first_meaningful_move_s,snaps_in_window,first_snapshot_utc,last_snapshot_utc,seconds_to_nearest_at_snapshot
2026-06-15,797,824505,NYM,CIN,team_total,team_total_lag,YES,1,bottom,0,3,trailing_team_total_lag,observed_only,85.0,2026-06-15T19:31:45.163141,2026-06-15T19:31:45.163141,2026-06-15T23:31:45.163141+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,28,29,28,,,,,,,,,,,,,,28,29,28,28,29,28,,,,,,,28,28,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,798,824505,NYM,CIN,team_total,team_total_lag,YES,2,top,0,3,trailing_team_total_lag,observed_only,85.0,2026-06-15T19:34:45.194854,2026-06-15T19:34:45.194854,2026-06-15T23:34:45.194854+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,28,29,28,28,29,28,,,,,,,,,,,,,,,,,,,,,,,28,28,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,799,823452,MIA,PHI,team_total,team_total_lag,YES,3,bottom,0,3,trailing_team_total_lag,blocked,56.2,2026-06-15T19:39:45.316386,2026-06-15T19:39:45.316386,2026-06-15T23:39:45.316386+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,75,77,76,,,,,,,,,,,,,,,,,75,77,76,,,,,,,76,76,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,800,823452,MIA,PHI,team_total,team_total_lag,YES,3,bottom,0,3,trailing_team_total_lag,observed_only,56.2,2026-06-15T19:40:45.436679,2026-06-15T19:40:45.436679,2026-06-15T23:40:45.436679+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,,,,,,,,,,,,,,75,77,76,75,77,76,,,,,,,,,,76,76,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,801,823452,MIA,PHI,team_total,team_total_lag,YES,4,top,0,3,trailing_team_total_lag,observed_only,56.2,2026-06-15T19:42:45.455318,2026-06-15T19:42:45.455318,2026-06-15T23:42:45.455318+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,,,,75,77,76,75,77,76,,,,,,,,,,,,,,,,,,,,76,76,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,802,824505,NYM,CIN,team_total,team_total_lag,YES,2,bottom,0,3,trailing_team_total_lag,observed_only,85.0,2026-06-15T19:42:45.456328,2026-06-15T19:42:45.456328,2026-06-15T23:42:45.456328+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,,,,28,29,28,28,29,28,,,,,,,,,,,,,,,,,,,,28,28,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,803,824505,NYM,CIN,team_total,team_total_lag,YES,2,bottom,0,3,trailing_team_total_lag,blocked,85.0,2026-06-15T19:43:46.130756,2026-06-15T19:43:46.130756,2026-06-15T23:43:46.130756+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,28,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,804,823452,MIA,PHI,team_total,team_total_lag,YES,4,top,0,3,trailing_team_total_lag,blocked,56.2,2026-06-15T19:45:46.154571,2026-06-15T19:45:46.154571,2026-06-15T23:45:46.154571+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,,,,,,,,,,,,,,75,77,76,75,77,76,,,,75,77,76,,,,76,76,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,805,824505,NYM,CIN,team_total,team_total_lag,YES,2,bottom,0,4,trailing_team_total_lag,blocked,85.0,2026-06-15T19:49:47.119328,2026-06-15T19:49:47.119328,2026-06-15T23:49:47.119328+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,,,,,,,,,,,,,,28,29,28,28,29,28,,,,28,29,28,,,,28,28,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,806,824505,NYM,CIN,team_total,team_total_lag,YES,2,bottom,0,5,trailing_team_total_lag,blocked,85.0,2026-06-15T19:53:47.204103,2026-06-15T19:53:47.204103,2026-06-15T23:53:47.204103+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,,,,,,,,,,,,,,,,,28,29,28,28,29,28,,,,,,,28,28,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,807,823452,MIA,PHI,team_total,team_total_lag,YES,4,bottom,0,3,trailing_team_total_lag,observed_only,56.2,2026-06-15T19:55:47.221117,2026-06-15T19:55:47.221117,2026-06-15T23:55:47.221117+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,,,,75,77,76,75,77,76,75,77,76,2,,,,,,,,,,75,77,76,,,,76,76,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,-20.0
2026-06-15,808,824505,NYM,CIN,team_total,team_total_lag,YES,2,bottom,0,9,trailing_team_total_lag,observed_only,85.0,2026-06-15T19:58:47.248095,2026-06-15T19:58:47.248095,2026-06-15T23:58:47.248095+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,,,,,,,,,,,,,,,,,28,29,28,28,29,28,,,,,,,28,28,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,809,823452,MIA,PHI,team_total,team_total_lag,YES,5,top,0,3,trailing_team_total_lag,observed_only,56.2,2026-06-15T20:02:47.280905,2026-06-15T20:02:47.280905,2026-06-16T00:02:47.280905+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,75,77,76,,,,,,,,,,,,,,,,,75,77,76,,,,,,,76,76,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,810,824505,NYM,CIN,team_total,team_total_lag,YES,3,top,0,9,trailing_team_total_lag,observed_only,85.0,2026-06-15T20:02:47.281808,2026-06-15T20:02:47.281808,2026-06-16T00:02:47.281808+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,28,29,28,,,,,,,,,,,,,,,,,28,29,28,,,,,,,28,28,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,811,823452,MIA,PHI,team_total,team_total_lag,YES,5,top,0,3,trailing_team_total_lag,blocked,56.2,2026-06-15T20:03:47.292350,2026-06-15T20:03:47.292350,2026-06-16T00:03:47.292350+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,,,,,,,,,,,,,,75,77,76,75,77,76,,,,75,77,76,,,,76,76,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,812,824505,NYM,CIN,team_total,team_total_lag,YES,3,bottom,0,9,trailing_team_total_lag,observed_only,85.0,2026-06-15T20:08:47.508428,2026-06-15T20:08:47.508428,2026-06-16T00:08:47.508428+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,,,,,,,28,29,28,28,29,28,1,28,29,28,,,,,,,28,29,28,0,,,28,28,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,11.4
2026-06-15,813,824505,NYM,CIN,team_total,team_total_lag,YES,3,bottom,0,9,trailing_team_total_lag,blocked,85.0,2026-06-15T20:09:47.518416,2026-06-15T20:09:47.518416,2026-06-16T00:09:47.518416+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,,,,28,29,28,28,29,28,,,,,,,,,,,,,,,,,,,,28,28,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,814,823452,MIA,PHI,team_total,team_total_lag,YES,5,bottom,0,3,trailing_team_total_lag,observed_only,56.2,2026-06-15T20:10:47.526349,2026-06-15T20:10:47.526349,2026-06-16T00:10:47.526349+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,75,77,76,,,,,,,,,,,,,,,,,75,77,76,,,,,,,76,76,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,815,823452,MIA,PHI,team_total,team_total_lag,YES,5,bottom,0,3,trailing_team_total_lag,blocked,56.2,2026-06-15T20:11:47.535471,2026-06-15T20:11:47.535471,2026-06-16T00:11:47.535471+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,,,,,,,,,,,,,,,,,75,77,76,75,77,76,,,,,,,76,76,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,816,823452,MIA,PHI,team_total,team_total_lag,YES,5,bottom,0,5,trailing_team_total_lag,observed_only,44.2,2026-06-15T20:12:47.544263,2026-06-15T20:12:47.544263,2026-06-16T00:12:47.544263+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,,,,,,,,,,75,77,76,2,75,77,76,75,77,76,,,,75,77,76,0,0,,76,76,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,36.4
2026-06-15,817,823452,MIA,PHI,team_total,team_total_lag,YES,5,bottom,0,5,trailing_team_total_lag,blocked,44.2,2026-06-15T20:14:47.561787,2026-06-15T20:14:47.561787,2026-06-16T00:14:47.561787+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,75,77,76,75,77,76,,,,,,,,,,,,,,,,,,,,,,,76,76,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,818,822887,MIN,TEX,team_total,team_total_lag,YES,1,top,3,0,trailing_team_total_lag,observed_only,59.5,2026-06-15T20:17:48.238230,2026-06-15T20:17:48.238230,2026-06-16T00:17:48.238230+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,,,,,,,58,59,58,58,59,58,1,58,59,58,,,,,,,58,59,58,0,,,58,58,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,4.2
2026-06-15,819,824505,NYM,CIN,team_total,team_total_lag,YES,4,top,0,9,trailing_team_total_lag,blocked,85.0,2026-06-15T20:18:48.451540,2026-06-15T20:18:48.451540,2026-06-16T00:18:48.451540+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM6,,,,28,29,28,28,29,28,,,,,,,,,,,,,,,,,,,,28,28,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,820,823452,MIA,PHI,team_total,team_total_lag,YES,6,top,0,5,trailing_team_total_lag,observed_only,44.2,2026-06-15T20:20:48.470018,2026-06-15T20:20:48.470018,2026-06-16T00:20:48.470018+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,,,,,,,,,,,,,,,,,75,77,76,75,77,76,,,,,,,76,76,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,821,822887,MIN,TEX,team_total,team_total_lag,YES,1,bottom,3,0,trailing_team_total_lag,blocked,59.5,2026-06-15T20:21:48.478639,2026-06-15T20:21:48.478639,2026-06-16T00:21:48.478639+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,,,,,,,,,,58,59,58,1,58,59,58,58,59,58,,,,58,59,58,0,0,,58,58,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,33.8
2026-06-15,822,822887,MIN,TEX,team_total,team_total_lag,YES,1,bottom,3,0,trailing_team_total_lag,observed_only,59.5,2026-06-15T20:25:48.515230,2026-06-15T20:25:48.515230,2026-06-16T00:25:48.515230+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX4,,,,,,,,,,,,,,58,59,58,58,59,58,,,,,,,,,,58,58,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,823,823452,MIA,PHI,team_total,team_total_lag,YES,6,bottom,0,5,trailing_team_total_lag,observed_only,44.2,2026-06-15T20:26:49.389404,2026-06-15T20:26:49.389404,2026-06-16T00:26:49.389404+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA2,,,,,,,75,77,76,75,77,76,2,75,77,76,,,,,,,28,34,31,0,,,76,31,-45,298.1,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,1.7
2026-06-15,824,822887,MIN,TEX,team_total,team_total_lag,YES,1,bottom,3,0,trailing_team_total_lag,observed_only,79.0,2026-06-15T20:28:49.407966,2026-06-15T20:28:49.407966,2026-06-16T00:28:49.407966+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,32,34,33,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,825,823452,MIA,PHI,team_total,team_total_lag,YES,6,bottom,0,5,trailing_team_total_lag,observed_only,58.0,2026-06-15T20:28:49.408752,2026-06-15T20:28:49.408752,2026-06-16T00:28:49.408752+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,58,59,58,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,826,824505,NYM,CIN,team_total,team_total_lag,YES,4,top,0,9,trailing_team_total_lag,blocked,55.3,2026-06-15T20:28:49.409756,2026-06-15T20:28:49.409756,2026-06-16T00:28:49.409756+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,12,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,827,822887,MIN,TEX,team_total,team_total_lag,YES,2,top,3,0,trailing_team_total_lag,observed_only,79.0,2026-06-15T20:29:49.419648,2026-06-15T20:29:49.419648,2026-06-16T00:29:49.419648+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,,,,,,,,,,,,,,,,,,,,27,32,29,,,,,,,29,29,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,828,823452,MIA,PHI,team_total,team_total_lag,YES,6,bottom,0,5,trailing_team_total_lag,blocked,58.0,2026-06-15T20:29:49.420649,2026-06-15T20:29:49.420649,2026-06-16T00:29:49.420649+00:00,KXMLBTEAMTOTAL-26JUN151840MIAPHI-MIA3,,,,,,,,,,,,,,,,,,,,13,21,17,,,,,,,17,17,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,829,822887,MIN,TEX,team_total,team_total_lag,YES,2,bottom,3,0,trailing_team_total_lag,observed_only,79.0,2026-06-15T20:33:49.463535,2026-06-15T20:33:49.463535,2026-06-16T00:33:49.463535+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,27,32,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,830,824505,NYM,CIN,team_total,team_total_lag,YES,4,bottom,0,9,trailing_team_total_lag,blocked,55.3,2026-06-15T20:34:49.480779,2026-06-15T20:34:49.480779,2026-06-16T00:34:49.480779+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,831,823046,SD,STL,team_total,team_total_lag,YES,4,bottom,0,2,trailing_team_total_lag,blocked,80.0,2026-06-15T20:39:49.545945,2026-06-15T20:39:49.545945,2026-06-16T00:39:49.545945+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,832,824505,NYM,CIN,team_total,team_total_lag,YES,5,top,0,9,trailing_team_total_lag,blocked,55.3,2026-06-15T20:40:49.563250,2026-06-15T20:40:49.563250,2026-06-16T00:40:49.563250+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,833,822887,MIN,TEX,team_total,team_total_lag,YES,3,top,3,0,trailing_team_total_lag,observed_only,79.0,2026-06-15T20:41:49.572747,2026-06-15T20:41:49.572747,2026-06-16T00:41:49.572747+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,834,823046,SD,STL,team_total,team_total_lag,YES,4,bottom,0,2,trailing_team_total_lag,observed_only,80.0,2026-06-15T20:41:49.573383,2026-06-15T20:41:49.573383,2026-06-16T00:41:49.573383+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,835,823046,SD,STL,team_total,team_total_lag,YES,5,top,0,2,trailing_team_total_lag,observed_only,80.0,2026-06-15T20:43:50.038075,2026-06-15T20:43:50.038075,2026-06-16T00:43:50.038075+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,836,824181,DET,HOU,team_total,team_total_lag,YES,2,top,2,0,trailing_team_total_lag,observed_only,48.0,2026-06-15T20:43:50.039631,2026-06-15T20:43:50.039631,2026-06-16T00:43:50.039631+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,837,822887,MIN,TEX,team_total,team_total_lag,YES,3,bottom,3,0,trailing_team_total_lag,observed_only,79.0,2026-06-15T20:47:50.087559,2026-06-15T20:47:50.087559,2026-06-16T00:47:50.087559+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,838,824181,DET,HOU,team_total,team_total_lag,YES,2,bottom,2,0,trailing_team_total_lag,observed_only,48.0,2026-06-15T20:48:50.101749,2026-06-15T20:48:50.101749,2026-06-16T00:48:50.101749+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,839,822887,MIN,TEX,team_total,team_total_lag,YES,3,bottom,3,0,trailing_team_total_lag,blocked,79.0,2026-06-15T20:49:50.111488,2026-06-15T20:49:50.111488,2026-06-16T00:49:50.111488+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,840,822887,MIN,TEX,f5_total,fluky_scoring_fade,NO,3,bottom,3,2,f5_overreaction,observed_only,71.8,2026-06-15T20:50:50.124800,2026-06-15T20:50:50.124800,2026-06-16T00:50:50.124800+00:00,KXMLBF5TOTAL-26JUN152005MINTEX-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,841,823046,SD,STL,team_total,team_total_lag,YES,5,bottom,0,2,trailing_team_total_lag,observed_only,80.0,2026-06-15T20:50:50.672865,2026-06-15T20:50:50.672865,2026-06-16T00:50:50.672865+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,842,823046,SD,STL,team_total,team_total_lag,YES,5,bottom,0,2,trailing_team_total_lag,blocked,80.0,2026-06-15T20:51:50.686153,2026-06-15T20:51:50.686153,2026-06-16T00:51:50.686153+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,843,824181,DET,HOU,team_total,team_total_lag,YES,2,bottom,2,0,trailing_team_total_lag,blocked,48.0,2026-06-15T20:52:50.700579,2026-06-15T20:52:50.700579,2026-06-16T00:52:50.700579+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,844,824505,NYM,CIN,team_total,team_total_lag,YES,5,bottom,0,9,trailing_team_total_lag,blocked,55.3,2026-06-15T20:53:50.745038,2026-06-15T20:53:50.745038,2026-06-16T00:53:50.745038+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,845,822887,MIN,TEX,f5_total,fluky_scoring_fade,NO,4,top,3,2,f5_overreaction,observed_only,71.8,2026-06-15T20:57:50.798467,2026-06-15T20:57:50.798467,2026-06-16T00:57:50.798467+00:00,KXMLBF5TOTAL-26JUN152005MINTEX-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,846,823046,SD,STL,team_total,team_total_lag,YES,5,bottom,0,3,trailing_team_total_lag,blocked,80.0,2026-06-15T20:58:50.813594,2026-06-15T20:58:50.813594,2026-06-16T00:58:50.813594+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,847,824181,DET,HOU,team_total,team_total_lag,YES,3,top,2,0,trailing_team_total_lag,observed_only,48.0,2026-06-15T20:58:50.815349,2026-06-15T20:58:50.815349,2026-06-16T00:58:50.815349+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
