date,candidate_id,game_pk,away_abbr,home_abbr,derivative_type,read_type,side,inning,half_inning,score_away,score_home,trigger_event_type,status,overall_watch_score,candidate_ts,anchor_ts_raw,anchor_ts_utc,market_ticker,yes_bid_before120,yes_ask_before120,mid_before120,yes_bid_before60,yes_ask_before60,mid_before60,yes_bid_before30,yes_ask_before30,mid_before30,yes_bid_at,yes_ask_at,mid_at,spread_at,yes_bid_after30,yes_ask_after30,mid_after30,yes_bid_after60,yes_ask_after60,mid_after60,yes_bid_after120,yes_ask_after120,mid_after120,yes_bid_after300,yes_ask_after300,mid_after300,delta_mid_30s,delta_mid_60s,delta_mid_120s,max_mid_after_300s,min_mid_after_300s,reversal_from_peak,time_to_first_meaningful_move_s,snaps_in_window,first_snapshot_utc,last_snapshot_utc,seconds_to_nearest_at_snapshot
2026-06-15,848,823046,SD,STL,team_total,team_total_lag,YES,5,bottom,0,3,trailing_team_total_lag,observed_only,80.0,2026-06-15T21:00:50.838335,2026-06-15T21:00:50.838335,2026-06-16T01:00:50.838335+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,849,824505,NYM,CIN,team_total,team_total_lag,YES,6,top,0,9,trailing_team_total_lag,blocked,55.3,2026-06-15T21:00:50.840773,2026-06-15T21:00:50.840773,2026-06-16T01:00:50.840773+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,850,823046,SD,STL,team_total,team_total_lag,YES,6,top,0,3,trailing_team_total_lag,observed_only,80.0,2026-06-15T21:01:50.958778,2026-06-15T21:01:50.958778,2026-06-16T01:01:50.958778+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,851,824181,DET,HOU,team_total,team_total_lag,YES,3,top,2,0,trailing_team_total_lag,blocked,48.0,2026-06-15T21:03:50.985675,2026-06-15T21:03:50.985675,2026-06-16T01:03:50.985675+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,852,822887,MIN,TEX,f5_total,fluky_scoring_fade,NO,4,bottom,3,2,f5_overreaction,blocked,71.8,2026-06-15T21:04:50.995806,2026-06-15T21:04:50.995806,2026-06-16T01:04:50.995806+00:00,KXMLBF5TOTAL-26JUN152005MINTEX-1,,,,,,,,,,,,,,,,,,,,,,,99,100,99,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,853,824181,DET,HOU,team_total,team_total_lag,YES,3,top,4,0,trailing_team_total_lag,observed_only,48.0,2026-06-15T21:06:51.023326,2026-06-15T21:06:51.023326,2026-06-16T01:06:51.023326+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,854,822887,MIN,TEX,f5_total,fluky_scoring_fade,NO,4,bottom,3,2,f5_overreaction,blocked,71.8,2026-06-15T21:07:51.035770,2026-06-15T21:07:51.035770,2026-06-16T01:07:51.035770+00:00,KXMLBF5TOTAL-26JUN152005MINTEX-1,,,,,,,,,,,,,,,,,,,,99,100,99,99,100,99,,,,99,99,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,855,824181,DET,HOU,team_total,team_total_lag,YES,3,top,5,0,trailing_team_total_lag,observed_only,48.0,2026-06-15T21:08:51.051489,2026-06-15T21:08:51.051489,2026-06-16T01:08:51.051489+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,856,824505,NYM,CIN,team_total,team_total_lag,YES,6,bottom,0,9,trailing_team_total_lag,blocked,55.3,2026-06-15T21:10:51.513275,2026-06-15T21:10:51.513275,2026-06-16T01:10:51.513275+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM8,,,,,,,,,,,,,,,,,,,,1,62,31,,,,,,,31,31,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,857,823046,SD,STL,team_total,team_total_lag,YES,6,bottom,0,3,trailing_team_total_lag,observed_only,80.0,2026-06-15T21:11:51.523229,2026-06-15T21:11:51.523229,2026-06-16T01:11:51.523229+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,,,,,,,,31,36,33,31,36,33,,,,31,36,33,,,,33,33,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,858,824181,DET,HOU,team_total,team_total_lag,YES,3,bottom,5,0,trailing_team_total_lag,observed_only,48.0,2026-06-15T21:11:51.524975,2026-06-15T21:11:51.524975,2026-06-16T01:11:51.524975+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU7,,,,,,,,,,,,,,12,19,15,12,19,15,,,,12,19,15,,,,15,15,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,859,822887,MIN,TEX,fg_total,market_overreaction,NO,5,top,3,2,full_game_total_reprice,observed_only,63.1,2026-06-15T21:12:50.725692,2026-06-15T21:12:50.725692,2026-06-16T01:12:50.725692+00:00,KXMLBTOTAL-26JUN152005MINTEX-8,,,,,,,73,74,73,73,74,73,1,73,74,73,,,,,,,73,74,73,0,,,73,73,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,0.0
2026-06-15,860,823046,SD,STL,team_total,team_total_lag,YES,6,bottom,0,3,trailing_team_total_lag,observed_only,77.5,2026-06-15T21:12:50.751718,2026-06-15T21:12:50.751718,2026-06-16T01:12:50.751718+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,,,,31,36,33,31,36,33,5,31,36,33,,,,,,,31,36,33,0,,,33,33,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,0.0
2026-06-15,861,823452,MIA,PHI,fg_total,market_overreaction,NO,8,bottom,0,5,full_game_total_reprice,blocked,61.0,2026-06-15T21:12:50.753234,2026-06-15T21:12:50.753234,2026-06-16T01:12:50.753234+00:00,KXMLBTOTAL-26JUN151840MIAPHI-6,,,,,,,88,89,88,88,89,88,1,88,89,88,,,,,,,88,89,88,0,,,88,88,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,0.0
2026-06-15,862,824181,DET,HOU,team_total,team_total_lag,YES,3,bottom,5,0,trailing_team_total_lag,observed_only,74.4,2026-06-15T21:12:50.755922,2026-06-15T21:12:50.755922,2026-06-16T01:12:50.755922+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,,,,,,,74,80,77,74,80,77,6,74,80,77,,,,,,,74,80,77,0,,,77,77,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,0.0
2026-06-15,863,824505,NYM,CIN,team_total,team_total_lag,YES,6,bottom,0,9,trailing_team_total_lag,blocked,33.8,2026-06-15T21:12:50.756806,2026-06-15T21:12:50.756806,2026-06-16T01:12:50.756806+00:00,KXMLBTEAMTOTAL-26JUN151910NYMCIN-NYM5,,,,,,,9,63,36,9,63,36,54,9,63,36,,,,,,,9,63,36,0,,,36,36,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,0.0
2026-06-15,864,822887,MIN,TEX,fg_total,market_overreaction,NO,5,top,3,2,full_game_total_reprice,blocked,63.1,2026-06-15T21:13:50.770133,2026-06-15T21:13:50.770133,2026-06-16T01:13:50.770133+00:00,KXMLBTOTAL-26JUN152005MINTEX-8,,,,73,74,73,73,74,73,,,,,,,,,,,,,,,,,,,,73,73,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,865,823046,SD,STL,team_total,team_total_lag,YES,6,bottom,0,3,trailing_team_total_lag,blocked,77.5,2026-06-15T21:13:50.771069,2026-06-15T21:13:50.771069,2026-06-16T01:13:50.771069+00:00,KXMLBTEAMTOTAL-26JUN151945SDSTL-SD2,,,,31,36,33,31,36,33,,,,,,,,,,,,,,,,,,,,33,33,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,866,823452,MIA,PHI,fg_total,market_overreaction,NO,8,bottom,0,6,full_game_total_reprice,blocked,61.0,2026-06-15T21:16:50.813657,2026-06-15T21:16:50.813657,2026-06-16T01:16:50.813657+00:00,KXMLBTOTAL-26JUN151840MIAPHI-6,,,,,,,,,,88,89,88,1,88,89,88,88,89,88,,,,88,89,88,0,0,,88,88,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,44.8
2026-06-15,867,823452,MIA,PHI,fg_total,market_overreaction,NO,8,bottom,0,7,full_game_total_reprice,blocked,61.0,2026-06-15T21:17:51.154974,2026-06-15T21:17:51.154974,2026-06-16T01:17:51.154974+00:00,KXMLBTOTAL-26JUN151840MIAPHI-6,,,,88,89,88,88,89,88,88,89,88,1,,,,,,,,,,88,89,88,,,,88,88,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,-15.5
2026-06-15,868,824181,DET,HOU,team_total,team_total_lag,YES,3,bottom,5,0,trailing_team_total_lag,blocked,74.4,2026-06-15T21:17:51.156266,2026-06-15T21:17:51.156266,2026-06-16T01:17:51.156266+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,,,,74,80,77,74,80,77,74,80,77,6,,,,,,,,,,74,80,77,,,,77,77,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,-15.5
2026-06-15,869,822887,MIN,TEX,fg_total,market_overreaction,NO,5,bottom,3,2,full_game_total_reprice,observed_only,63.1,2026-06-15T21:19:51.183440,2026-06-15T21:19:51.183440,2026-06-16T01:19:51.183440+00:00,KXMLBTOTAL-26JUN152005MINTEX-8,73,74,73,,,,,,,,,,,,,,,,,73,74,73,,,,,,,73,73,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,870,823452,MIA,PHI,fg_total,market_overreaction,NO,8,bottom,0,7,full_game_total_reprice,blocked,61.0,2026-06-15T21:19:51.185023,2026-06-15T21:19:51.185023,2026-06-16T01:19:51.185023+00:00,KXMLBTOTAL-26JUN151840MIAPHI-6,88,89,88,,,,,,,,,,,,,,,,,88,89,88,,,,,,,88,88,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,871,823452,MIA,PHI,fg_total,market_overreaction,NO,9,top,0,7,full_game_total_reprice,blocked,61.0,2026-06-15T21:21:51.216330,2026-06-15T21:21:51.216330,2026-06-16T01:21:51.216330+00:00,KXMLBTOTAL-26JUN151840MIAPHI-6,,,,,,,,,,88,89,88,1,88,89,88,88,89,88,,,,88,89,88,0,0,,88,88,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,21.5
2026-06-15,872,824181,DET,HOU,team_total,team_total_lag,YES,3,bottom,5,2,trailing_team_total_lag,observed_only,74.4,2026-06-15T21:21:51.217665,2026-06-15T21:21:51.217665,2026-06-16T01:21:51.217665+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,,,,,,,,,,74,80,77,6,74,80,77,74,80,77,,,,74,80,77,0,0,,77,77,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,21.5
2026-06-15,873,822887,MIN,TEX,fg_total,market_overreaction,NO,5,bottom,3,2,full_game_total_reprice,blocked,63.1,2026-06-15T21:22:51.232352,2026-06-15T21:22:51.232352,2026-06-16T01:22:51.232352+00:00,KXMLBTOTAL-26JUN152005MINTEX-8,,,,73,74,73,73,74,73,73,74,73,1,,,,,,,,,,,,,,,,73,73,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,-38.5
2026-06-15,874,824181,DET,HOU,fg_total,market_overreaction,NO,3,bottom,5,3,full_game_total_reprice,observed_only,69.4,2026-06-15T21:22:51.236058,2026-06-15T21:22:51.236058,2026-06-16T01:22:51.236058+00:00,KXMLBTOTAL-26JUN152010DETHOU-7,,,,94,96,95,94,96,95,94,96,95,2,,,,,,,,,,,,,,,,95,95,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,-38.5
2026-06-15,875,824181,DET,HOU,f5_total,fluky_scoring_fade,NO,3,bottom,5,3,f5_overreaction,observed_only,47.2,2026-06-15T21:22:51.236434,2026-06-15T21:22:51.236434,2026-06-16T01:22:51.236434+00:00,KXMLBF5TOTAL-26JUN152010DETHOU-1,,,,99,100,99,99,100,99,99,100,99,1,,,,,,,,,,,,,,,,99,99,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,-38.5
2026-06-15,876,824181,DET,HOU,team_total,team_total_lag,YES,3,bottom,5,3,trailing_team_total_lag,observed_only,62.4,2026-06-15T21:22:51.238182,2026-06-15T21:22:51.238182,2026-06-16T01:22:51.238182+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,,,,74,80,77,74,80,77,74,80,77,6,,,,,,,,,,,,,,,,77,77,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,-38.5
2026-06-15,877,823452,MIA,PHI,fg_total,market_overreaction,NO,9,top,0,7,full_game_total_reprice,blocked,61.0,2026-06-15T21:23:51.252527,2026-06-15T21:23:51.252527,2026-06-16T01:23:51.252527+00:00,KXMLBTOTAL-26JUN151840MIAPHI-6,88,89,88,88,89,88,,,,,,,,,,,,,,,,,,,,,,,88,88,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,878,824181,DET,HOU,fg_total,market_overreaction,NO,4,top,5,3,full_game_total_reprice,observed_only,69.4,2026-06-15T21:25:51.288082,2026-06-15T21:25:51.288082,2026-06-16T01:25:51.288082+00:00,KXMLBTOTAL-26JUN152010DETHOU-7,,,,,,,,,,,,,,94,96,95,94,96,95,,,,94,96,95,,,,95,95,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,879,824181,DET,HOU,f5_total,fluky_scoring_fade,NO,4,top,5,3,f5_overreaction,observed_only,47.2,2026-06-15T21:25:51.288446,2026-06-15T21:25:51.288446,2026-06-16T01:25:51.288446+00:00,KXMLBF5TOTAL-26JUN152010DETHOU-1,,,,,,,,,,,,,,99,100,99,99,100,99,,,,99,100,99,,,,99,99,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,880,824181,DET,HOU,team_total,team_total_lag,YES,4,top,5,3,trailing_team_total_lag,observed_only,62.4,2026-06-15T21:25:51.288742,2026-06-15T21:25:51.288742,2026-06-16T01:25:51.288742+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,,,,,,,,,,,,,,74,80,77,74,80,77,,,,74,80,77,,,,77,77,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,881,824181,DET,HOU,fg_total,market_overreaction,NO,4,top,5,3,full_game_total_reprice,blocked,69.4,2026-06-15T21:27:51.316860,2026-06-15T21:27:51.316860,2026-06-16T01:27:51.316860+00:00,KXMLBTOTAL-26JUN152010DETHOU-7,,,,94,96,95,94,96,95,,,,,,,,,,,,,,,,,,,,95,95,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,882,824181,DET,HOU,f5_total,fluky_scoring_fade,NO,4,top,5,3,f5_overreaction,blocked,47.2,2026-06-15T21:27:51.317266,2026-06-15T21:27:51.317266,2026-06-16T01:27:51.317266+00:00,KXMLBF5TOTAL-26JUN152010DETHOU-1,,,,99,100,99,99,100,99,,,,,,,,,,,,,,,,,,,,99,99,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,883,824181,DET,HOU,team_total,team_total_lag,YES,4,top,5,3,trailing_team_total_lag,blocked,62.4,2026-06-15T21:27:51.317468,2026-06-15T21:27:51.317468,2026-06-16T01:27:51.317468+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,,,,74,80,77,74,80,77,,,,,,,,,,,,,,,,,,,,77,77,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,884,822887,MIN,TEX,fg_total,market_overreaction,NO,6,top,4,2,full_game_total_reprice,observed_only,63.1,2026-06-15T21:31:51.372298,2026-06-15T21:31:51.372298,2026-06-16T01:31:51.372298+00:00,KXMLBTOTAL-26JUN152005MINTEX-8,,,,73,74,73,73,74,73,73,74,73,1,,,,,,,,,,73,74,73,,,,73,73,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,-21.8
2026-06-15,885,822887,MIN,TEX,team_total,team_total_lag,YES,6,top,4,2,trailing_team_total_lag,observed_only,74.5,2026-06-15T21:31:51.372655,2026-06-15T21:31:51.372655,2026-06-16T01:31:51.372655+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,,,,99,100,99,99,100,99,99,100,99,1,,,,,,,,,,99,100,99,,,,99,99,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,-21.8
2026-06-15,886,824181,DET,HOU,fg_total,market_overreaction,NO,4,bottom,5,3,full_game_total_reprice,observed_only,69.4,2026-06-15T21:36:51.450915,2026-06-15T21:36:51.450915,2026-06-16T01:36:51.450915+00:00,KXMLBTOTAL-26JUN152010DETHOU-7,,,,94,96,95,94,96,95,94,96,95,2,,,,,,,,,,,,,,,,95,95,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,-41.5
2026-06-15,887,824181,DET,HOU,f5_total,fluky_scoring_fade,NO,4,bottom,5,3,f5_overreaction,blocked,47.2,2026-06-15T21:36:51.451225,2026-06-15T21:36:51.451225,2026-06-16T01:36:51.451225+00:00,KXMLBF5TOTAL-26JUN152010DETHOU-1,,,,99,100,99,99,100,99,99,100,99,1,,,,,,,,,,,,,,,,99,99,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,-41.5
2026-06-15,888,824181,DET,HOU,team_total,team_total_lag,YES,4,bottom,5,3,trailing_team_total_lag,observed_only,62.4,2026-06-15T21:36:51.451585,2026-06-15T21:36:51.451585,2026-06-16T01:36:51.451585+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,,,,74,80,77,74,80,77,74,80,77,6,,,,,,,,,,,,,,,,77,77,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,-41.5
2026-06-15,889,822887,MIN,TEX,fg_total,market_overreaction,NO,6,bottom,4,2,full_game_total_reprice,observed_only,63.1,2026-06-15T21:38:52.024434,2026-06-15T21:38:52.024434,2026-06-16T01:38:52.024434+00:00,KXMLBTOTAL-26JUN152005MINTEX-8,73,74,73,,,,,,,,,,,,,,,,,73,74,73,,,,,,,73,73,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,890,822887,MIN,TEX,team_total,team_total_lag,YES,6,bottom,4,2,trailing_team_total_lag,observed_only,74.5,2026-06-15T21:38:52.024833,2026-06-15T21:38:52.024833,2026-06-16T01:38:52.024833+00:00,KXMLBTEAMTOTAL-26JUN152005MINTEX-TEX2,99,100,99,,,,,,,,,,,,,,,,,99,100,99,,,,,,,99,99,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,891,824181,DET,HOU,fg_total,market_overreaction,NO,5,top,5,3,full_game_total_reprice,observed_only,69.4,2026-06-15T21:41:52.076458,2026-06-15T21:41:52.076458,2026-06-16T01:41:52.076458+00:00,KXMLBTOTAL-26JUN152010DETHOU-7,,,,94,96,95,94,96,95,,,,,,,,,,,,,,,,,,,,95,95,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,892,824181,DET,HOU,team_total,team_total_lag,YES,5,top,5,3,trailing_team_total_lag,observed_only,62.4,2026-06-15T21:41:52.076814,2026-06-15T21:41:52.076814,2026-06-16T01:41:52.076814+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,,,,74,80,77,74,80,77,,,,,,,,,,,,,,,,,,,,77,77,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,893,824181,DET,HOU,fg_total,market_overreaction,NO,5,top,5,3,full_game_total_reprice,blocked,69.4,2026-06-15T21:43:52.239453,2026-06-15T21:43:52.239453,2026-06-16T01:43:52.239453+00:00,KXMLBTOTAL-26JUN152010DETHOU-7,,,,,,,,,,,,,,,,,94,96,95,94,96,95,,,,,,,95,95,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,894,824181,DET,HOU,team_total,team_total_lag,YES,5,top,5,3,trailing_team_total_lag,blocked,62.4,2026-06-15T21:43:52.239806,2026-06-15T21:43:52.239806,2026-06-16T01:43:52.239806+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,,,,,,,,,,,,,,,,,74,80,77,74,80,77,,,,,,,77,77,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,895,822887,MIN,TEX,fg_total,market_overreaction,NO,7,top,4,2,full_game_total_reprice,observed_only,63.1,2026-06-15T21:44:52.253292,2026-06-15T21:44:52.253292,2026-06-16T01:44:52.253292+00:00,KXMLBTOTAL-26JUN152005MINTEX-8,,,,,,,,,,73,74,73,1,73,74,73,73,74,73,,,,73,74,73,0,0,,73,73,0,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,35.5
2026-06-15,896,824181,DET,HOU,fg_total,market_overreaction,NO,5,top,6,3,full_game_total_reprice,blocked,69.4,2026-06-15T21:47:52.834995,2026-06-15T21:47:52.834995,2026-06-16T01:47:52.834995+00:00,KXMLBTOTAL-26JUN152010DETHOU-7,94,96,95,,,,,,,,,,,,,,,,,94,96,95,,,,,,,95,95,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,897,824181,DET,HOU,team_total,team_total_lag,YES,5,top,6,3,trailing_team_total_lag,blocked,62.4,2026-06-15T21:47:52.835361,2026-06-15T21:47:52.835361,2026-06-16T01:47:52.835361+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,74,80,77,,,,,,,,,,,,,,,,,74,80,77,,,,,,,77,77,,,1,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,898,824181,DET,HOU,fg_total,market_overreaction,NO,5,top,6,3,full_game_total_reprice,observed_only,69.4,2026-06-15T21:50:52.877551,2026-06-15T21:50:52.877551,2026-06-16T01:50:52.877551+00:00,KXMLBTOTAL-26JUN152010DETHOU-7,,,,94,96,95,94,96,95,,,,,,,,,,,,,,94,96,95,,,,95,95,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
2026-06-15,899,824181,DET,HOU,team_total,team_total_lag,YES,5,top,6,3,trailing_team_total_lag,observed_only,62.4,2026-06-15T21:50:52.877865,2026-06-15T21:50:52.877865,2026-06-16T01:50:52.877865+00:00,KXMLBTEAMTOTAL-26JUN152010DETHOU-HOU2,,,,74,80,77,74,80,77,,,,,,,,,,,,,,74,80,77,,,,77,77,0,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T03:59:50.851572+00:00,
2026-06-15,900,822887,MIN,TEX,fg_total,market_overreaction,NO,7,bottom,4,2,full_game_total_reprice,observed_only,63.1,2026-06-15T21:51:52.890247,2026-06-15T21:51:52.890247,2026-06-16T01:51:52.890247+00:00,KXMLBTOTAL-26JUN152005MINTEX-8,73,74,73,,,,,,,,,,,,,,,,,,,,,,,,,,73,73,,,2,2026-06-15T16:52:33.564746+00:00,2026-06-16T04:04:10.105850+00:00,
